word,x,y,cluster
いくつ,-4.1807437,7.093217,8
いつも,1.6479262,-9.147833,14
うち,-4.203288,7.11849,8
うるさい,3.7351773,4.6318893,18
おととし,-2.4925454,-7.511927,15
おまわりさん,1.880758,-1.4562842,9
お兄さん,3.6970918,16.893333,10
お姉さん,3.4874196,17.926746,10
お手洗い,17.833838,0.19745438,0
お母さん,3.4104428,18.065937,10
お父さん,3.671102,16.920042,10
お腹,3.6734457,4.73527,18
お菓子,3.5802128,17.927254,10
お金,6.692715,12.090491,-1
かかる,11.312029,13.253359,2
かける,11.300661,13.113832,2
かばん,9.247371,11.9590025,13
かぶる,0.20689483,-0.88859916,-1
する,-4.1502986,7.1308904,8
そば,-0.8005718,-0.88747305,19
たて,2.765733,-1.5343318,9
たばこ,3.362051,18.21214,10
つける,-4.211513,7.059674,8
つまらない,3.7770061,4.4789376,18
できる,11.318776,13.126143,2
ない,-1.1769276,-0.06174598,19
なる,-4.172915,7.0733333,8
はく,8.242143,-3.9641864,3
まずい,-4.1322317,7.0685706,8
みんな,1.6196172,-8.421267,14
やる,-4.139541,7.2007947,8
アパート,10.1373625,11.572036,13
エレベーター,10.079515,11.57866,13
カップ,9.619049,11.856677,13
カメラ,0.52855974,9.912403,6
カレンダー,9.274499,11.982533,13
カレー,7.2359114,12.592592,12
ギター,9.646997,12.379394,13
クラス,-4.3916497,11.041568,4
グラム,3.235959,5.583417,-1
コップ,9.168615,11.969534,13
コピーする,9.641813,11.802168,13
コート,-2.6002502,-6.830253,15
コーヒー,6.5592637,13.317656,12
シャツ,-3.0711603,-5.25597,15
シャワー,17.80172,0.22956663,0
スカート,-2.951282,-5.708669,15
ストーブ,10.213035,12.241484,13
スプーン,10.068946,12.213872,13
スポーツ,10.121727,12.307411,13
ズボン,10.204247,12.316076,13
セーター,-2.9972882,-5.5232315,15
ゼロ,9.548659,12.568655,-1
タクシー,1.7606406,14.9138,5
テスト,-4.242847,10.891847,4
テレビ,10.107892,11.500956,13
テーブル,11.128881,12.946203,2
テープ,10.227034,12.221795,13
テープレコーダー,10.177641,12.139583,13
デパート,10.054918,11.564812,13
トイレ,17.737694,0.29355553,0
ドア,10.188826,12.252125,13
ナイフ,9.491912,12.179267,13
ニュース,0.5167392,11.255442,6
ネクタイ,-3.0361378,-5.2701793,15
ノート,1.2133412,11.499974,6
ハンカチ,9.663123,11.9108,13
バス,10.186617,11.75319,13
バター,10.167606,11.576025,13
パン,9.729217,11.8672085,13
パーティー,10.009093,11.663714,13
フィルム,1.1316957,10.658872,6
フォーク,7.76888,-3.1537018,-1
プール,10.030573,12.138889,13
ベッド,10.061921,11.563455,13
ペット,10.132618,11.534902,13
ペン,10.040725,11.6391735,13
ページ,10.159932,11.509247,13
ホテル,6.708375,12.545959,12
ボタン,10.094554,12.225096,13
ボールペン,10.113318,11.538858,13
ポケット,10.049979,12.290399,13
ポスト,6.601077,12.559397,12
マッチ,4.9876676,10.131945,-1
メートル,1.6360995,-8.513559,14
ラジオ,-0.67950475,-2.0003395,16
ラジオカセ,-0.65027505,-2.0358536,16
レコード,9.577426,12.530719,-1
レストラン,7.038633,12.557506,12
ワイシャツ,-3.0424168,-5.315077,15
一,2.0872164,-9.063708,14
一つ,2.1015317,-9.093654,14
一人,2.084214,-9.092662,14
一日,2.0351899,-9.088476,14
一昨日,1.503995,-9.566392,14
一月,2.1166341,-9.082305,14
一緒,2.045204,-8.999767,14
七,-2.6740289,-6.7483273,15
七つ,-2.659428,-6.770189,15
七日,-2.6528454,-6.762327,15
万,1.6452125,-8.546125,14
万年筆,1.6321261,-8.903534,14
三,8.228321,-3.090474,3
