Word,JLPT Level
ああ,N5
会う,N5
青,N5
青い,N5
赤,N5
赤い,N5
明るい,N5
秋,N5
開く,N5
開ける,N5
上げる,N5
朝,N5
朝御飯,N5
明後日,N5
足; 脚,N5
明日,N5
あそこ,N5
遊ぶ,N5
暖かい,N5
頭,N5
新しい,N5
あちら,N5
暑い,N5
熱い,N5
厚い,N5
あっち,N5
後,N5
あなた,N5
兄,N5
姉,N5
アパート,N5
あの,N5
浴びる,N5
危ない,N5
甘い,N5
余り,N5
雨,N5
飴,N5
洗う,N5
在る,N5
有る,N5
歩く,N5
あれ,N5
いい; よい,N5
いいえ,N5
言う,N5
家,N5
いかが,N5
行く,N5
いくつ,N5
いくら,N5
池,N5
医者,N5
椅子,N5
忙しい,N5
痛い,N5
一,N5
一日,N5
一番,N5
いつ,N5
五日,N5
一緒,N5
五つ,N5
いつも,N5
犬,N5
今,N5
意味,N5
妹,N5
嫌,N5
入口,N5
居る,N5
要る,N5
入れる,N5
色,N5
色々,N5
上,N5
後ろ,N5
薄い,N5
歌,N5
歌う,N5
うち,N5
生まれる,N5
海,N5
売る,N5
うるさい,N5
上着,N5
絵,N5
映画,N5
映画館,N5
英語,N5
ええ,N5
駅,N5
エレベーター,N5
～円,N5
鉛筆,N5
お～,N5
美味しい,N5
多い,N5
大きい,N5
大きな,N5
大勢,N5
お母さん,N5
お菓子,N5
お金,N5
起きる,N5
置く,N5
奥さん,N5
お酒,N5
お皿,N5
伯父; 叔父さん,N5
おじいさん,N5
教える,N5
押す,N5
遅い,N5
お茶,N5
お手洗い,N5
お父さん,N5
弟,N5
男,N5
男の子,N5
一昨日,N5
おととし,N5
大人,N5
お腹,N5
同じ,N5
お兄さん,N5
お姉さん,N5
伯母さん; 叔母さん,N5
おばあさん,N5
お風呂,N5
お弁当,N5
覚える,N5
おまわりさん,N5
重い,N5
面白い,N5
泳ぐ,N5
降りる,N5
終る,N5
音楽,N5
女,N5
女の子,N5
～回,N5
～階,N5
外国,N5
外国人,N5
会社,N5
階段,N5
買い物,N5
買う,N5
返す,N5
帰る,N5
顔,N5
かかる,N5
鍵,N5
書く,N5
学生,N5
～か月,N5
掛ける,N5
かける,N5
傘,N5
貸す,N5
風,N5
風邪,N5
方,N5
家族,N5
片仮名,N5
～月,N5
学校,N5
カップ,N5
家庭,N5
角,N5
かばん,N5
花瓶,N5
かぶる,N5
紙,N5
カメラ,N5
火曜日,N5
辛い,N5
体,N5
借りる,N5
～がる,N5
軽い,N5
カレー,N5
カレンダー,N5
川; 河,N5
～側,N5
可愛い,N5
漢字,N5
木,N5
黄色,N5
黄色い,N5
消える,N5
聞く,N5
北,N5
ギター,N5
汚い,N5
喫茶店,N5
切手,N5
切符,N5
昨日,N5
九,N5
牛肉,N5
牛乳,N5
今日,N5
教室,N5
兄弟,N5
去年,N5
嫌い,N5
切る,N5
着る,N5
綺麗,N5
キロ; キログラム,N5
キロ; キロメートル,N5
銀行,N5
金曜日,N5
九,N5
薬,N5
下さい,N5
果物,N5
口,N5
靴,N5
靴下,N5
国,N5
曇り,N5
曇る,N5
暗い,N5
～くらい; ぐらい,N5
クラス,N5
グラム,N5
来る,N5
車,N5
黒,N5
黒い,N5
警官,N5
今朝,N5
消す,N5
結構,N5
結婚,N5
月曜日,N5
玄関,N5
元気,N5
～個,N5
五,N5
～語,N5
公園,N5
交差点,N5
紅茶,N5
交番,N5
声,N5
コート,N5
コーヒー,N5
ここ,N5
午後,N5
九日,N5
九つ,N5
午前,N5
答える,N5
こちら,N5
こっち,N5
コップ,N5
今年,N5
言葉,N5
子供,N5
この,N5
御飯,N5
コピーする,N5
困る,N5
これ,N5
～ころ; ～ごろ,N5
今月,N5
今週,N5
こんな,N5
今晩,N5
さあ,N5
～歳,N5
財布,N5
魚,N5
先,N5
咲く,N5
作文,N5
差す,N5
～冊,N5
雑誌,N5
砂糖,N5
寒い,N5
さ来年,N5
～さん,N5
三,N5
散歩,N5
四,N5
～時,N5
塩,N5
しかし,N5
時間,N5
～時間,N5
仕事,N5
辞書,N5
静か,N5
下,N5
七,N5
質問,N5
自転車,N5
自動車,N5
死ぬ,N5
字引,N5
自分,N5
閉まる,N5
閉める,N5
締める,N5
じゃ; じゃあ,N5
写真,N5
シャツ,N5
シャワー,N5
十,N5
～中,N5
～週間,N5
授業,N5
宿題,N5
上手,N5
丈夫,N5
醤油,N5
食堂,N5
知る,N5
白,N5
白い,N5
～人,N5
新聞,N5
水曜日,N5
吸う,N5
スカート,N5
好き,N5
～すぎ,N5
少ない,N5
すぐに,N5
少し,N5
涼しい,N5
～ずつ,N5
ストーブ,N5
スプーン,N5
スポーツ,N5
ズボン,N5
住む,N5
する,N5
座る,N5
背,N5
生徒,N5
セーター,N5
石鹸,N5
背広,N5
狭い,N5
ゼロ,N5
千,N5
先月,N5
先週,N5
先生,N5
洗濯,N5
全部,N5
そう; そうです,N5
掃除,N5
そうして; そして,N5
そこ,N5
そちら,N5
そっち,N5
外,N5
その,N5
そば,N5
空,N5
それ,N5
それから,N5
それでは,N5
～台,N5
大学,N5
大使館,N5
大丈夫,N5
大好き,N5
大切,N5
台所,N5
大変,N5
高い,N5
～だけ,N5
沢山,N5
タクシー,N5
出す,N5
～たち,N5
立つ,N5
たて,N5
建物,N5
楽しい,N5
頼む,N5
たばこ,N5
多分,N5
食べ物,N5
食べる,N5
卵,N5
誰,N5
誰か,N5
誕生日,N5
段々,N5
小さい,N5
小さな,N5
近い,N5
違う,N5
近く,N5
地下鉄,N5
地図,N5
父,N5
茶色,N5
茶碗,N5
～中,N5
丁度,N5
ちょっと,N5
一日,N5
使う,N5
疲れる,N5
次,N5
着く,N5
机,N5
作る,N5
つける,N5
勤める,N5
つまらない,N5
冷たい,N5
強い,N5
手,N5
テープ,N5
テープレコーダー,N5
テーブル,N5
出かける,N5
手紙,N5
できる,N5
出口,N5
テスト,N5
では,N5
デパート,N5
でも,N5
出る,N5
テレビ,N5
天気,N5
