Word,English
いくつ,how many / how old
いつも,always
うち,home / house
うるさい,noisy / loud
おととし,the year before last
おまわりさん,police officer
お兄さん,older brother
お姉さん,older sister
お手洗い,toilet / restroom
お母さん,mother
お父さん,father
お腹,stomach
お菓子,sweets / candy
お金,money
かかる,to take (time or money)
かける,to hang / to put on
かばん,bag
かぶる,to wear (hat)
する,to do
そば,near / beside
たて,vertical
たばこ,cigarette
つける,to turn on
つまらない,boring
できる,can do / be able to
ない,not exist / none
なる,to become
はく,to wear (pants or shoes)
まずい,bad-tasting / unpleasant
みんな,everyone
やる,to do
アパート,apartment
エレベーター,elevator
カップ,cup
カメラ,camera
カレンダー,calendar
カレー,curry
ギター,guitar
クラス,class
グラム,gram
コップ,glass
コピーする,to copy
コート,coat
コーヒー,coffee
シャツ,shirt
シャワー,shower
スカート,skirt
ストーブ,heater
スプーン,spoon
スポーツ,sports
ズボン,pants / trousers
セーター,sweater
ゼロ,zero
タクシー,taxi
テスト,test
テレビ,television
テーブル,table
テープ,tape
テープレコーダー,tape recorder
デパート,department store
トイレ,toilet
ドア,door
ナイフ,knife
ニュース,news
ネクタイ,necktie
ノート,notebook
ハンカチ,handkerchief
バス,bus
バター,butter
パン,bread
パーティー,party
フィルム,film
フォーク,fork
プール,swimming pool
ベッド,bed
ペット,pet
ペン,pen
ページ,page
ホテル,hotel
ボタン,button
ボールペン,ballpoint pen
ポケット,pocket
ポスト,mailbox
マッチ,match
メートル,meter
ラジオ,radio
ラジオカセ,radio cassette player
レコード,record
レストラン,restaurant
ワイシャツ,dress shirt
一,one
一つ,one (thing)
一人,one person
一日,one day
一昨日,the day before yesterday
一月,January
一緒,together
七,seven
七つ,seven (things)
七日,the seventh day / seven days
万,ten thousand
万年筆,fountain pen
三,three
三つ,three (things)
三日,three days / the third day
上,up / above
上げる,to raise / to give
上着,jacket / outerwear
下,down / below
下さる,to give (honorific)
下手,unskilled / bad at
両親,parents
並ぶ,to line up
並べる,to line up / arrange
中,inside / middle
乗る,to ride / get on
九,nine
九つ,nine (things)
九日,nine days / the ninth day
二,two
二つ,two (things)
二人,two people
二十日,twenty days / twentieth day
二十歳,twenty years old
